
start_station_name,end_station_name,trips
Post at Kearny,San Francisco Caltrain 2 (330 Townsend),908
Embarcadero at Vallejo,Embarcadero at Bryant,906
Townsend at 7th,Powell Street BART,902
Mechanics Plaza (Market at Battery),Powell Street BART,899
Temporary Transbay Terminal (Howard at Beale),Harry Bridges Plaza (Ferry Building),897
Steuart at Market,Spear at Folsom,895
2nd at Townsend,2nd at Townsend,895
San Francisco Caltrain 2 (330 Townsend),2nd at South Park,895
San Francisco Caltrain 2 (330 Townsend),Golden Gate at Polk,893
Commercial at Montgomery,Embarcadero at Bryant,893
Temporary Transbay Terminal (Howard at Beale),Yerba Buena Center of the Arts (3rd @ Howard),889
2nd at South Park,Townsend at 7th,888
Steuart at Market,Broadway St at Battery St,888
Townsend at 7th,Howard at 2nd,888
Clay at Battery,2nd at Townsend,885
Embarcadero at Sansome,Embarcadero at Vallejo,883
Powell at Post (Union Square),San Francisco Caltrain 2 (330 Townsend),882
5th at Howard,Steuart at Market,878
Market at 10th,Post at Kearny,877
Mechanics Plaza (Market at Battery),Embarcadero at Sansome,872
Spear at Folsom,Townsend at 7th,867
Market at 4th,Market at Sansome,867
Market at 4th,South Van Ness at Market,866
Market at Sansome,Temporary Transbay Terminal (Howard at Beale),862
Golden Gate at Polk,Townsend at 7th,860
St James Park,San Jose Diridon Caltrain Station,859
Spear at Folsom,Harry Bridges Plaza (Ferry Building),857
Ryland Park,San Jose Diridon Caltrain Station,852
Spear at Folsom,Steuart at Market,851
2nd at Townsend,Embarcadero at Vallejo,847
Temporary Transbay Terminal (Howard at Beale),Civic Center BART (7th at Market),844
Howard at 2nd,Townsend at 7th,843
Market at 10th,Market at 10th,843
San Francisco Caltrain 2 (330 Townsend),2nd at Townsend,840
Embarcadero at Vallejo,Embarcadero at Vallejo,840
San Jose City Hall,San Jose Diridon Caltrain Station,838
Embarcadero at Sansome,San Francisco Caltrain 2 (330 Townsend),836
Mechanics Plaza (Market at Battery),Embarcadero at Bryant,834
San Francisco Caltrain 2 (330 Townsend),Mechanics Plaza (Market at Battery),832
Broadway St at Battery St,Market at Sansome,832
2nd at Townsend,Clay at Battery,831
San Francisco Caltrain 2 (330 Townsend),Spear at Folsom,830
Davis at Jackson,Davis at Jackson,827
Harry Bridges Plaza (Ferry Building),5th at Howard,826
Howard at 2nd,Market at Sansome,823
Powell at Post (Union Square),Powell at Post (Union Square),822
Harry Bridges Plaza (Ferry Building),Temporary Transbay Terminal (Howard at Beale),820
Mechanics Plaza (Market at Battery),Market at 10th,818
South Van Ness at Market,Temporary Transbay Terminal (Howard at Beale),817
Golden Gate at Polk,San Francisco Caltrain (Townsend at 4th),815
Market at 10th,Yerba Buena Center of the Arts (3rd @ Howard),814
Japantown,San Jose Diridon Caltrain Station,812
Powell Street BART,Powell Street BART,811
Temporary Transbay Terminal (Howard at Beale),Golden Gate at Polk,809
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Sansome,807
Grant Avenue at Columbus Avenue,Embarcadero at Sansome,805
San Jose Diridon Caltrain Station,St James Park,804
Market at 4th,2nd at South Park,803
Commercial at Montgomery,Yerba Buena Center of the Arts (3rd @ Howard),801
Market at Sansome,Powell Street BART,800
Harry Bridges Plaza (Ferry Building),Grant Avenue at Columbus Avenue,799
Beale at Market,Spear at Folsom,796
Golden Gate at Polk,Temporary Transbay Terminal (Howard at Beale),796
Embarcadero at Sansome,Grant Avenue at Columbus Avenue,790
5th at Howard,Townsend at 7th,788
Mechanics Plaza (Market at Battery),Powell at Post (Union Square),783
Embarcadero at Bryant,Embarcadero at Bryant,780
Townsend at 7th,2nd at Folsom,780
Powell Street BART,Harry Bridges Plaza (Ferry Building),776
Grant Avenue at Columbus Avenue,Steuart at Market,773
Grant Avenue at Columbus Avenue,Powell Street BART,773
Civic Center BART (7th at Market),Powell Street BART,770
Broadway St at Battery St,2nd at Townsend,770
Mechanics Plaza (Market at Battery),San Francisco Caltrain 2 (330 Townsend),768
Embarcadero at Bryant,Commercial at Montgomery,768
San Francisco Caltrain 2 (330 Townsend),Post at Kearny,766
Market at 10th,5th at Howard,764
Santa Clara at Almaden,Arena Green / SAP Center,760
Davis at Jackson,San Francisco Caltrain 2 (330 Townsend),759
Powell Street BART,Embarcadero at Sansome,756
Market at Sansome,Broadway St at Battery St,756
Yerba Buena Center of the Arts (3rd @ Howard),Market at 10th,755
2nd at South Park,Market at 4th,755
Spear at Folsom,Embarcadero at Sansome,754
Beale at Market,Embarcadero at Bryant,753
Grant Avenue at Columbus Avenue,Harry Bridges Plaza (Ferry Building),749
5th at Howard,Harry Bridges Plaza (Ferry Building),748
Civic Center BART (7th at Market),Embarcadero at Sansome,747
2nd at South Park,Steuart at Market,744
Market at Sansome,Market at 10th,743
Powell at Post (Union Square),Harry Bridges Plaza (Ferry Building),741
Embarcadero at Vallejo,2nd at Townsend,740
2nd at Townsend,Market at 4th,737
Embarcadero at Bryant,Townsend at 7th,733
Beale at Market,2nd at South Park,730
Townsend at 7th,Market at Sansome,727
Davis at Jackson,Market at Sansome,727
Commercial at Montgomery,Harry Bridges Plaza (Ferry Building),727
Redwood City Caltrain Station,Stanford in Redwood City,726
2nd at Folsom,Powell Street BART,724
Yerba Buena Center of the Arts (3rd @ Howard),Harry Bridges Plaza (Ferry Building),724
Mechanics Plaza (Market at Battery),Commercial at Montgomery,723
Arena Green / SAP Center,Santa Clara at Almaden,716
Palo Alto Caltrain Station,California Ave Caltrain Station,716
2nd at Townsend,Mechanics Plaza (Market at Battery),715
Powell at Post (Union Square),Market at 10th,715
2nd at Folsom,Townsend at 7th,714
Townsend at 7th,Spear at Folsom,710
Grant Avenue at Columbus Avenue,2nd at Townsend,709
Townsend at 7th,Steuart at Market,706
Market at 4th,2nd at Townsend,705
San Francisco Caltrain (Townsend at 4th),San Francisco Caltrain (Townsend at 4th),704
Commercial at Montgomery,Mechanics Plaza (Market at Battery),703
Mechanics Plaza (Market at Battery),Harry Bridges Plaza (Ferry Building),702
Yerba Buena Center of the Arts (3rd @ Howard),5th at Howard,702
2nd at Townsend,Beale at Market,702
