
day,trips,subscriber_type
2014-11-06,122,Customer
2014-11-07,132,Customer
2014-11-08,282,Customer
2014-11-09,170,Customer
2014-11-10,80,Customer
2014-11-11,83,Customer
2014-11-12,73,Customer
2014-11-13,102,Customer
2014-11-14,96,Customer
2014-11-15,174,Customer
2014-11-16,105,Customer
2014-11-17,53,Customer
2014-11-18,62,Customer
2014-11-19,31,Customer
2014-11-20,19,Customer
2014-11-21,65,Customer
2014-11-22,110,Customer
2014-11-23,68,Customer
2014-11-24,93,Customer
2014-11-25,107,Customer
2014-11-26,48,Customer
2014-11-27,69,Customer
2014-11-28,86,Customer
2014-11-29,124,Customer
2014-11-30,30,Customer
2014-12-01,56,Customer
2014-12-02,10,Customer
2014-12-03,28,Customer
2014-12-04,64,Customer
2014-12-05,63,Customer
2014-12-06,124,Customer
2014-12-07,104,Customer
2014-12-08,93,Customer
2014-12-09,70,Customer
2014-12-10,54,Customer
2014-12-11,5,Customer
2014-12-12,31,Customer
2014-12-13,120,Customer
2014-12-14,77,Customer
2014-12-15,26,Customer
2014-12-16,45,Customer
2014-12-17,32,Customer
2014-12-18,56,Customer
2014-12-19,14,Customer
2014-12-20,96,Customer
2014-12-21,113,Customer
2014-12-22,116,Customer
2014-12-23,119,Customer
2014-12-24,57,Customer
2014-12-25,105,Customer
2014-12-26,122,Customer
2014-12-27,118,Customer
2014-12-28,193,Customer
2014-12-29,77,Customer
2014-12-30,30,Customer
2014-12-31,73,Customer
2015-01-01,111,Customer
2015-01-02,122,Customer
2015-01-03,123,Customer
2015-01-04,81,Customer
2015-01-05,75,Customer
2015-01-06,80,Customer
2015-01-07,56,Customer
2015-01-08,81,Customer
2015-01-09,63,Customer
2015-01-10,129,Customer
2015-01-11,144,Customer
2015-01-12,81,Customer
2015-01-13,69,Customer
2015-01-14,86,Customer
2015-01-15,67,Customer
2015-01-16,91,Customer
2015-01-17,126,Customer
2015-01-18,125,Customer
2015-01-19,80,Customer
2015-01-20,38,Customer
2015-01-21,73,Customer
2015-01-22,64,Customer
2015-01-23,90,Customer
2015-01-24,172,Customer
2015-01-25,113,Customer
2015-01-26,62,Customer
2015-01-27,59,Customer
2015-01-28,68,Customer
2015-01-29,54,Customer
2015-01-30,66,Customer
2015-01-31,123,Customer
2015-02-01,87,Customer
2015-02-02,50,Customer
2015-02-03,75,Customer
2015-02-04,89,Customer
2015-02-05,68,Customer
2015-02-06,15,Customer
2015-02-07,76,Customer
2015-02-08,49,Customer
2015-02-09,50,Customer
2015-02-10,60,Customer
2015-02-11,74,Customer
2015-02-12,67,Customer
2015-02-13,149,Customer
2015-02-14,347,Customer
2015-02-15,228,Customer
2015-02-16,143,Customer
2015-02-17,75,Customer
2015-02-18,69,Customer
2015-02-19,75,Customer
2015-02-20,122,Customer
2015-02-21,130,Customer
2015-02-22,142,Customer
2015-02-23,102,Customer
2015-02-24,55,Customer
2015-02-25,68,Customer
2015-02-26,57,Customer
2015-02-27,60,Customer
2015-02-28,131,Customer
2015-03-01,144,Customer
2015-03-02,75,Customer
2015-03-03,98,Customer
2015-03-04,66,Customer
2015-03-05,63,Customer
2015-03-06,120,Customer
2015-03-07,162,Customer
2015-03-08,175,Customer
2015-03-09,78,Customer
2015-03-10,81,Customer
2015-03-11,58,Customer
2015-03-12,89,Customer
2015-03-13,128,Customer
2015-03-14,247,Customer
2015-03-15,186,Customer
2015-03-16,105,Customer
2015-03-17,94,Customer
2015-03-18,95,Customer
2015-03-19,98,Customer
2015-03-20,106,Customer
2015-03-21,185,Customer
2015-03-22,120,Customer
2015-03-23,93,Customer
2015-03-24,120,Customer
2015-03-25,139,Customer
2015-03-26,133,Customer
2015-03-27,179,Customer
2015-03-28,299,Customer
2015-03-29,157,Customer
2015-03-30,104,Customer
2015-03-31,77,Customer
2015-04-01,75,Customer
2015-04-02,105,Customer
2015-04-03,108,Customer
2015-04-04,129,Customer
2015-04-05,85,Customer
2015-04-06,75,Customer
2015-04-07,73,Customer
2015-04-08,83,Customer
2015-04-09,115,Customer
2015-04-10,130,Customer
2015-04-11,154,Customer
2015-04-12,129,Customer
2015-04-13,59,Customer
2015-04-14,95,Customer
2015-04-15,101,Customer
2015-04-16,150,Customer
2015-04-17,131,Customer
2015-04-18,197,Customer
2015-04-19,132,Customer
2015-04-20,63,Customer
2015-04-21,109,Customer
2015-04-22,116,Customer
2015-04-23,101,Customer
2015-04-24,90,Customer
2015-04-25,195,Customer
2015-04-26,140,Customer
2015-04-27,89,Customer
2015-04-28,84,Customer
2015-04-29,113,Customer
2015-04-30,99,Customer
2015-05-01,152,Customer
2015-05-02,145,Customer
2015-05-03,191,Customer
2015-05-04,69,Customer
2015-05-05,91,Customer
2015-05-06,107,Customer
2015-05-07,95,Customer
2015-05-08,140,Customer
2015-05-09,173,Customer
2015-05-10,133,Customer
2015-05-11,77,Customer
2015-05-12,88,Customer
2015-05-13,126,Customer
2015-05-14,142,Customer
2015-05-15,125,Customer
2015-05-16,201,Customer
2015-05-17,164,Customer
2015-05-18,72,Customer
2015-05-19,84,Customer
2015-05-20,73,Customer
2015-05-21,102,Customer
2015-05-22,142,Customer
2015-05-23,214,Customer
2015-05-24,218,Customer
2015-05-25,137,Customer
2015-05-26,93,Customer
2015-05-27,82,Customer
2015-05-28,72,Customer
2015-05-29,121,Customer
2015-05-30,221,Customer
2015-05-31,145,Customer
2015-06-01,86,Customer
2015-06-02,112,Customer
2015-06-03,94,Customer
2015-06-04,118,Customer
2015-06-05,137,Customer
2015-06-06,178,Customer
2015-06-07,242,Customer
2015-06-08,82,Customer
2015-06-09,102,Customer
2015-06-10,67,Customer
2015-06-11,139,Customer
2015-06-12,172,Customer
2015-06-13,186,Customer
2015-06-14,125,Customer
2015-06-15,83,Customer
2015-06-16,93,Customer
2015-06-17,121,Customer
2015-06-18,84,Customer
2015-06-19,173,Customer
2015-06-20,187,Customer
2015-06-21,134,Customer
2015-06-22,69,Customer
2015-06-23,104,Customer
2015-06-24,69,Customer
2015-06-25,147,Customer
2015-06-26,209,Customer
2015-06-27,269,Customer
2015-06-28,221,Customer
2015-06-29,146,Customer
2015-06-30,90,Customer
2015-07-01,71,Customer
2015-07-02,91,Customer
2015-07-03,210,Customer
2015-07-04,354,Customer
2015-07-05,182,Customer
2015-07-06,147,Customer
2015-07-07,127,Customer
2015-07-08,137,Customer
2015-07-09,66,Customer
2015-07-10,162,Customer
2015-07-11,261,Customer
2015-07-12,213,Customer
2015-07-13,113,Customer
2015-07-14,80,Customer
2015-07-15,124,Customer
2015-07-16,152,Customer
2015-07-17,139,Customer
2015-07-18,179,Customer
2015-07-19,204,Customer
2015-07-20,131,Customer
2015-07-21,100,Customer
2015-07-22,106,Customer
2015-07-23,120,Customer
2015-07-24,186,Customer
2015-07-25,205,Customer
2015-07-26,259,Customer
2015-07-27,108,Customer
2015-07-28,182,Customer
2015-07-29,154,Customer
2015-07-30,102,Customer
2015-07-31,159,Customer
2015-08-01,249,Customer
2015-08-02,158,Customer
2015-08-03,108,Customer
2015-08-04,145,Customer
2015-08-05,151,Customer
2015-08-06,136,Customer
2015-08-07,172,Customer
2015-08-08,247,Customer
2015-08-09,122,Customer
2015-08-10,95,Customer
2015-08-11,139,Customer
2015-08-12,135,Customer
2015-08-13,196,Customer
2015-08-14,157,Customer
2015-08-15,252,Customer
2015-08-16,241,Customer
2015-08-17,113,Customer
2015-08-18,88,Customer
2015-08-19,83,Customer
2015-08-20,125,Customer
2015-08-21,114,Customer
2015-08-22,257,Customer
2015-08-23,148,Customer
2015-08-24,69,Customer
2015-08-25,107,Customer
2015-08-26,123,Customer
2015-08-27,136,Customer
2015-08-28,118,Customer
2015-08-29,151,Customer
2015-08-30,174,Customer
2015-08-31,87,Customer
2015-09-01,83,Customer
2015-09-02,92,Customer
2015-09-03,95,Customer
2015-09-04,93,Customer
2015-09-05,206,Customer
2015-09-06,193,Customer
2015-09-07,149,Customer
2015-09-08,100,Customer
2015-09-09,70,Customer
2015-09-10,82,Customer
2015-09-11,108,Customer
2015-09-12,170,Customer
2015-09-13,127,Customer
2015-09-14,66,Customer
2015-09-15,109,Customer
2015-09-16,84,Customer
2015-09-17,108,Customer
2015-09-18,168,Customer
2015-09-19,193,Customer
2015-09-20,162,Customer
2015-09-21,96,Customer
2015-09-22,65,Customer
2015-09-23,78,Customer
2015-09-24,129,Customer
2015-09-25,151,Customer
2015-09-26,206,Customer
2015-09-27,195,Customer
2015-09-28,107,Customer
2015-09-29,83,Customer
2015-09-30,40,Customer
2015-10-01,89,Customer
2015-10-02,131,Customer
2015-10-03,135,Customer
2015-10-04,145,Customer
2015-10-05,77,Customer
2015-10-06,91,Customer
2015-10-07,105,Customer
2015-10-08,95,Customer
2015-10-09,138,Customer
2015-10-10,200,Customer
2015-10-11,263,Customer
2015-10-12,92,Customer
2015-10-13,98,Customer
2015-10-14,92,Customer
2015-10-15,90,Customer
2015-10-16,151,Customer
2015-10-17,131,Customer
2015-10-18,115,Customer
2015-10-19,113,Customer
2015-10-20,103,Customer
