
start_station_name,end_station_name,trips
Townsend at 7th,Harry Bridges Plaza (Ferry Building),829
2nd at Townsend,Davis at Jackson,825
Beale at Market,Commercial at Montgomery,816
Market at 10th,Powell Street BART,813
Commercial at Montgomery,San Francisco Caltrain (Townsend at 4th),812
Embarcadero at Bryant,Embarcadero at Vallejo,807
Steuart at Market,2nd at South Park,806
Spear at Folsom,San Francisco Caltrain 2 (330 Townsend),801
Harry Bridges Plaza (Ferry Building),2nd at Folsom,798
Harry Bridges Plaza (Ferry Building),Embarcadero at Bryant,797
Beale at Market,Temporary Transbay Terminal (Howard at Beale),787
Powell Street BART,Townsend at 7th,786
San Francisco Caltrain 2 (330 Townsend),Beale at Market,783
San Francisco Caltrain 2 (330 Townsend),Civic Center BART (7th at Market),779
5th at Howard,Temporary Transbay Terminal (Howard at Beale),772
2nd at Folsom,Harry Bridges Plaza (Ferry Building),769
Market at Sansome,Embarcadero at Sansome,769
San Francisco Caltrain 2 (330 Townsend),Broadway St at Battery St,769
Steuart at Market,Embarcadero at Folsom,767
Embarcadero at Folsom,Embarcadero at Sansome,764
San Jose Diridon Caltrain Station,Japantown,764
Embarcadero at Bryant,Steuart at Market,761
South Van Ness at Market,San Francisco Caltrain (Townsend at 4th),759
Powell at Post (Union Square),Howard at 2nd,758
Embarcadero at Sansome,Embarcadero at Folsom,754
2nd at Folsom,Temporary Transbay Terminal (Howard at Beale),746
Embarcadero at Sansome,Clay at Battery,745
Embarcadero at Vallejo,Temporary Transbay Terminal (Howard at Beale),744
Davis at Jackson,2nd at Townsend,742
2nd at South Park,Harry Bridges Plaza (Ferry Building),740
Golden Gate at Polk,San Francisco Caltrain 2 (330 Townsend),740
San Jose Diridon Caltrain Station,Adobe on Almaden,734
Ryland Park,San Jose Diridon Caltrain Station,726
Embarcadero at Bryant,Mechanics Plaza (Market at Battery),723
San Francisco Caltrain 2 (330 Townsend),Golden Gate at Polk,718
Townsend at 7th,South Van Ness at Market,715
San Francisco Caltrain 2 (330 Townsend),Mechanics Plaza (Market at Battery),715
2nd at South Park,San Francisco Caltrain 2 (330 Townsend),713
Civic Center BART (7th at Market),South Van Ness at Market,711
Temporary Transbay Terminal (Howard at Beale),Civic Center BART (7th at Market),708
San Francisco Caltrain 2 (330 Townsend),Market at 4th,708
Beale at Market,Embarcadero at Vallejo,695
San Francisco Caltrain (Townsend at 4th),Civic Center BART (7th at Market),682
South Van Ness at Market,Temporary Transbay Terminal (Howard at Beale),681
2nd at Townsend,Spear at Folsom,679
Howard at 2nd,5th at Howard,678
Mechanics Plaza (Market at Battery),San Francisco Caltrain (Townsend at 4th),677
MLK Library,San Jose Diridon Caltrain Station,671
Howard at 2nd,2nd at Townsend,670
Market at Sansome,Grant Avenue at Columbus Avenue,662
San Jose Diridon Caltrain Station,St James Park,660
Grant Avenue at Columbus Avenue,Clay at Battery,657
Steuart at Market,Howard at 2nd,655
Harry Bridges Plaza (Ferry Building),5th at Howard,655
Broadway St at Battery St,San Francisco Caltrain 2 (330 Townsend),653
Townsend at 7th,2nd at Townsend,651
Japantown,San Jose Diridon Caltrain Station,649
San Francisco Caltrain 2 (330 Townsend),Spear at Folsom,639
Redwood City Caltrain Station,Stanford in Redwood City,637
Embarcadero at Bryant,Embarcadero at Folsom,637
Howard at 2nd,Steuart at Market,625
San Jose Diridon Caltrain Station,Ryland Park,624
San Francisco Caltrain 2 (330 Townsend),Post at Kearny,622
Broadway St at Battery St,Mechanics Plaza (Market at Battery),621
2nd at Folsom,2nd at Townsend,620
Civic Center BART (7th at Market),San Francisco Caltrain 2 (330 Townsend),620
Steuart at Market,Broadway St at Battery St,615
Embarcadero at Vallejo,San Francisco Caltrain (Townsend at 4th),612
Paseo de San Antonio,San Jose Diridon Caltrain Station,612
Grant Avenue at Columbus Avenue,Market at 4th,608
San Pedro Square,San Jose Diridon Caltrain Station,605
2nd at South Park,Howard at 2nd,597
Market at 10th,Townsend at 7th,597
South Van Ness at Market,Civic Center BART (7th at Market),595
Market at 10th,Post at Kearny,590
Clay at Battery,2nd at Townsend,588
Golden Gate at Polk,San Francisco Caltrain (Townsend at 4th),585
Embarcadero at Bryant,San Francisco Caltrain 2 (330 Townsend),582
Powell at Post (Union Square),San Francisco Caltrain (Townsend at 4th),579
Golden Gate at Polk,Townsend at 7th,578
Spear at Folsom,Townsend at 7th,577
Howard at 2nd,2nd at South Park,567
Palo Alto Caltrain Station,California Ave Caltrain Station,561
Townsend at 7th,2nd at Folsom,560
St James Park,San Jose Diridon Caltrain Station,559
Civic Center BART (7th at Market),San Francisco Caltrain (Townsend at 4th),558
Commercial at Montgomery,Market at Sansome,554
San Francisco Caltrain 2 (330 Townsend),Commercial at Montgomery,550
Davis at Jackson,Embarcadero at Sansome,543
Temporary Transbay Terminal (Howard at Beale),Harry Bridges Plaza (Ferry Building),542
San Francisco Caltrain 2 (330 Townsend),Clay at Battery,539
South Van Ness at Market,Powell Street BART,537
2nd at Townsend,Clay at Battery,537
Powell Street BART,Market at Sansome,536
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Sansome,533
Steuart at Market,Spear at Folsom,532
Harry Bridges Plaza (Ferry Building),Embarcadero at Vallejo,531
Beale at Market,2nd at South Park,531
Civic Center BART (7th at Market),Market at Sansome,526
2nd at Townsend,Embarcadero at Vallejo,523
Embarcadero at Sansome,Mechanics Plaza (Market at Battery),520
Embarcadero at Sansome,Davis at Jackson,518
Commercial at Montgomery,Yerba Buena Center of the Arts (3rd @ Howard),516
Broadway St at Battery St,2nd at Townsend,513
Post at Kearny,San Francisco Caltrain (Townsend at 4th),513
Townsend at 7th,Powell Street BART,512
